Protein.Names,Exo1_92.1_Control_rep1,Exo1_92.1_Control_rep2,Exo2_IBUD_rep1,Exo2_IBUD_rep2,Exo3_Control_rep1,Exo3_Control_rep2,Exo4_IBUD_rep1,Exo4_IBUD_rep2,Exo5_Control_rep1,Exo5_Control_rep2,Exo6_IBUD_rep1,Exo6_IBUD_rep2
ANO6_HUMAN,3.83E+04,3.83E+04,3.90E+04,3.71E+04,4.38E+04,4.46E+04,4.69E+04,4.62E+04,5.11E+04,5.39E+04,5.60E+04,6.46E+04
RM51_HUMAN,3.25E+04,3.56E+04,3.11E+04,2.98E+04,5.36E+04,3.22E+04,3.73E+04,,5.93E+04,,2.73E+04,2.00E+03
GRAP1_HUMAN,,5.98E+03,4.87E+03,3.84E+03,3.51E+03,3.19E+03,1.48E+03,2.82E+03,3.87E+03,4.71E+03,4.29E+03,5.35E+03
MIX23_HUMAN,,,,2.01E+03,1.47E+03,2.08E+03,2.23E+03,2.67E+03,3.05E+03,2.44E+03,1.19E+03,
AMOT_HUMAN,,,,,6.15E+03,7.00E+03,7.90E+03,8.64E+03,,,1.09E+04,9.39E+03
RFTN2_HUMAN,4.25E+03,4.44E+03,1.97E+03,3.16E+03,6.53E+03,6.60E+03,4.93E+03,6.79E+03,1.05E+04,1.22E+04,1.02E+04,1.20E+04
KR132_HUMAN,,,,,,,,,,,,
FA98B_HUMAN,8.53E+03,8.22E+03,9.89E+03,1.37E+04,3.13E+03,,3.08E+03,4.25E+03,5.53E+03,4.41E+03,5.34E+03,5.38E+03
PDCD4_HUMAN,,2.79E+03,2.74E+03,,3.36E+03,3.73E+03,3.35E+03,4.66E+03,1.15E+04,1.13E+04,9.89E+03,1.17E+04
GPAT3_HUMAN,,,,,4.06E+03,5.20E+03,4.96E+03,4.66E+03,,,,4.69E+03
CEP55_HUMAN,3.69E+04,3.53E+04,3.39E+04,3.27E+04,9.31E+04,1.01E+05,8.38E+04,9.57E+04,2.00E+04,2.19E+04,1.65E+04,1.90E+04
QORX_HUMAN,7.93E+03,7.72E+03,1.03E+04,9.41E+03,4.01E+03,4.55E+03,4.61E+03,5.08E+03,1.08E+04,1.30E+04,1.56E+04,1.83E+04
HIKES_HUMAN,3.46E+03,4.47E+03,5.06E+03,5.02E+03,3.86E+03,3.83E+03,3.52E+03,4.75E+03,4.58E+03,5.40E+03,5.30E+03,5.43E+03
PHLA2_HUMAN,1.66E+04,9.49E+03,1.30E+04,1.74E+04,6.04E+04,6.23E+04,7.64E+04,6.85E+04,3.11E+04,2.98E+04,3.55E+04,3.49E+04
PDLI3_HUMAN,1.25E+04,2.08E+04,2.02E+04,1.76E+04,1.24E+04,1.93E+04,1.08E+04,7.63E+03,1.81E+04,1.61E+04,2.12E+04,2.20E+04
PKHO1_HUMAN,,,,,9.95E+03,1.05E+04,1.02E+04,1.13E+04,,6.63E+03,,
PAR10_HUMAN,,,,2.10E+03,3.32E+03,2.74E+03,2.55E+03,3.05E+03,1.40E+03,2.77E+03,2.01E+03,2.52E+03
DHB12_HUMAN,8.71E+03,7.07E+03,7.49E+03,8.37E+03,3.08E+03,3.42E+03,4.28E+03,4.30E+03,1.01E+04,1.03E+04,1.29E+04,1.48E+04
SNUT2_HUMAN,,9.66E+02,1.07E+03,1.95E+03,1.52E+03,1.81E+03,2.63E+03,3.17E+03,2.74E+03,2.05E+03,2.54E+03,4.83E+03
PLA1A_HUMAN,,,,,,,3.71E+03,4.33E+03,1.96E+04,2.03E+04,1.94E+04,1.61E+04
LACB2_HUMAN,6.38E+03,5.55E+03,7.13E+03,6.49E+03,4.63E+03,4.94E+03,4.38E+03,5.85E+03,9.05E+03,9.46E+03,1.00E+04,9.99E+03
P5CR3_HUMAN,7.67E+03,5.29E+03,7.56E+03,7.48E+03,3.52E+03,3.45E+03,2.92E+03,3.98E+03,1.04E+04,1.20E+04,1.05E+04,1.34E+04
EIPR1_HUMAN,7.30E+03,7.33E+03,8.52E+03,8.63E+03,5.92E+03,5.64E+03,4.83E+03,5.76E+03,8.16E+03,7.54E+03,8.68E+03,1.04E+04
BOREA_HUMAN,4.64E+04,4.85E+04,4.75E+04,4.35E+04,4.77E+04,4.83E+04,4.70E+04,5.18E+04,6.18E+04,6.56E+04,7.18E+04,7.55E+04
SWAHC_HUMAN,,,,,9.80E+02,,,,,,4.63E+02,6.27E+02
APRV1_HUMAN,5.18E+03,6.11E+03,3.51E+03,3.16E+03,,,,3.00E+03,,2.06E+03,,3.30E+03
RAB6C_HUMAN;RAB6D_HUMAN,,,6.17E+03,6.73E+03,8.57E+03,9.64E+03,1.70E+04,2.01E+04,1.28E+04,1.57E+04,2.48E+04,2.65E+04
COBL1_HUMAN,6.62E+03,3.81E+03,6.11E+03,6.59E+03,1.17E+04,1.29E+04,1.21E+04,1.44E+04,2.39E+04,2.49E+04,2.28E+04,2.37E+04
H1BP3_HUMAN,2.43E+04,2.14E+04,2.69E+04,3.05E+04,1.74E+04,1.82E+04,1.69E+04,1.66E+04,1.61E+04,1.79E+04,1.78E+04,1.94E+04
CYBR1_HUMAN,3.15E+04,2.27E+04,2.41E+04,1.72E+04,3.41E+04,3.35E+04,3.83E+04,3.86E+04,5.58E+03,,,
C2CD6_HUMAN,,,1.91E+03,,2.51E+03,,4.02E+03,4.52E+03,1.03E+04,1.01E+04,1.04E+04,1.24E+04
WDR81_HUMAN,7.30E+03,8.48E+03,1.08E+04,9.42E+03,4.56E+03,5.03E+03,7.26E+03,8.33E+03,4.74E+03,4.54E+03,4.74E+03,5.19E+03
ACTBL_HUMAN,,1.53E+04,2.75E+04,6.84E+03,4.77E+04,4.90E+04,5.16E+04,2.84E+04,6.44E+04,3.62E+04,3.30E+04,2.79E+04
CCD93_HUMAN,1.34E+04,1.44E+04,2.40E+04,2.50E+04,6.20E+03,6.09E+03,8.60E+03,9.51E+03,7.20E+03,8.41E+03,6.50E+03,8.05E+03
OCAD2_HUMAN,,1.26E+03,1.99E+03,2.27E+03,,,,,,,,
SDK2_HUMAN,,,,,,,,,2.29E+03,3.05E+03,3.11E+03,2.92E+03
SDK2_HUMAN,1.67E+04,5.94E+03,2.28E+03,6.65E+03,4.54E+04,2.91E+04,5.45E+04,,5.69E+04,5.90E+04,5.77E+04,6.49E+04
PKHG4_HUMAN,2.06E+03,,1.77E+03,2.20E+03,1.65E+03,1.78E+03,1.87E+03,1.75E+03,,,,
H90B4_HUMAN,9.18E+03,1.65E+04,2.20E+04,1.91E+04,1.08E+04,1.57E+04,1.00E+04,1.09E+04,7.75E+03,6.51E+03,6.25E+03,4.83E+03
H90B2_HUMAN,,5.14E+04,7.60E+04,7.71E+04,,5.62E+04,4.21E+04,5.87E+04,2.75E+04,3.06E+04,3.05E+04,3.23E+04
RUN3A_HUMAN,,,2.88E+03,,9.02E+03,6.22E+03,6.18E+03,5.97E+03,1.96E+04,1.78E+04,2.61E+03,2.61E+03
TNI3K_HUMAN,6.22E+03,,,,,1.06E+03,,6.79E+02,,,,9.92E+02
YIF1B_HUMAN,,,,,,,1.56E+03,1.79E+03,1.23E+03,2.00E+03,2.11E+03,3.95E+03
S45A4_HUMAN,1.66E+04,1.29E+04,1.35E+04,1.55E+04,3.36E+03,3.99E+03,4.50E+03,6.53E+03,7.14E+03,7.28E+03,8.85E+03,1.04E+04
ZN326_HUMAN,1.87E+04,1.98E+04,2.20E+04,2.50E+04,2.52E+03,3.76E+03,6.75E+03,8.37E+03,9.86E+03,1.07E+04,2.78E+04,2.95E+04
TTMP_HUMAN,,,,,1.76E+03,3.67E+03,3.40E+03,5.82E+03,2.04E+03,2.29E+03,2.49E+03,2.75E+03
FILA2_HUMAN,1.19E+05,1.26E+05,5.33E+04,5.32E+04,2.21E+04,2.79E+04,2.02E+04,2.39E+04,2.91E+04,2.89E+04,2.74E+04,3.25E+04
IGS11_HUMAN,1.54E+04,1.78E+04,2.04E+04,2.25E+04,5.89E+04,5.87E+04,5.12E+04,5.82E+04,2.63E+04,2.84E+04,2.38E+04,2.52E+04
RIPL1_HUMAN,6.73E+03,5.67E+03,7.62E+03,7.31E+03,1.28E+04,1.23E+04,1.28E+04,1.21E+04,4.53E+03,5.61E+03,5.93E+03,6.64E+03
PDZ11_HUMAN,,,,,4.17E+03,4.31E+03,3.38E+03,4.08E+03,3.90E+03,4.67E+03,5.13E+03,6.66E+03
DJC21_HUMAN,9.10E+03,6.32E+03,1.07E+04,9.69E+03,4.52E+03,4.90E+03,5.53E+03,6.57E+03,3.18E+03,3.55E+03,4.80E+03,5.10E+03
HERC4_HUMAN,1.28E+04,1.10E+04,1.20E+04,1.07E+04,1.19E+04,1.11E+04,1.26E+04,1.48E+04,8.79E+03,8.99E+03,8.94E+03,1.05E+04
PP6R3_HUMAN,7.26E+03,7.88E+03,8.40E+03,9.03E+03,3.99E+03,4.52E+03,4.29E+03,4.96E+03,5.88E+03,6.48E+03,7.30E+03,8.36E+03
SH319_HUMAN,,,,,2.54E+03,2.87E+03,2.65E+03,3.08E+03,,1.91E+03,,1.05E+03
NHLC3_HUMAN,9.50E+03,1.12E+04,1.18E+04,1.07E+04,,2.28E+03,3.26E+03,5.03E+03,3.08E+03,3.70E+03,5.91E+03,6.76E+03
PSMG4_HUMAN,,4.20E+03,5.94E+03,,4.18E+03,3.66E+03,3.47E+03,5.37E+03,3.55E+03,4.34E+03,5.95E+03,7.00E+03
WDR44_HUMAN,5.42E+03,3.91E+03,4.49E+03,4.06E+03,6.87E+03,7.71E+03,7.22E+03,8.25E+03,5.72E+03,7.23E+03,7.70E+03,8.93E+03
DOC11_HUMAN,4.46E+03,4.55E+03,3.60E+03,4.17E+03,5.17E+03,6.96E+03,6.09E+03,7.13E+03,2.78E+03,3.20E+03,2.92E+03,3.45E+03
TJAP1_HUMAN,,1.78E+03,1.62E+03,2.42E+03,1.02E+03,1.36E+03,1.41E+03,1.60E+03,1.75E+03,2.12E+03,1.44E+03,1.66E+03
RRP12_HUMAN,1.39E+04,1.39E+04,1.21E+04,1.43E+04,4.04E+03,4.03E+03,5.52E+03,6.22E+03,4.64E+03,6.18E+03,1.35E+04,1.64E+04
COA6_HUMAN,6.04E+03,,1.24E+04,1.05E+04,2.68E+03,2.93E+03,2.51E+03,2.82E+03,5.73E+03,6.68E+03,4.23E+03,5.72E+03
TOIP1_HUMAN,,2.59E+03,2.33E+03,3.12E+03,,9.14E+02,1.05E+03,1.80E+03,1.85E+03,2.35E+03,2.18E+03,3.28E+03
IQEC2_HUMAN,,,,,1.46E+03,2.22E+03,2.21E+03,2.47E+03,,1.35E+03,,
FA78A_HUMAN,2.65E+03,4.12E+03,2.42E+03,4.17E+03,2.39E+03,3.76E+03,4.00E+03,4.53E+03,5.58E+03,6.49E+03,6.08E+03,8.26E+03
TEX30_HUMAN,,,,1.89E+03,,8.89E+02,,,,,,
PCID2_HUMAN,3.83E+03,2.26E+03,2.44E+03,2.05E+03,2.10E+03,2.16E+03,3.10E+03,1.92E+03,1.47E+03,1.33E+03,1.59E+03,1.84E+03
DOP1_HUMAN,,,,,1.20E+02,5.90E+02,1.85E+02,6.64E+02,5.51E+02,5.68E+02,2.62E+02,
S27A3_HUMAN,,,,5.53E+03,6.63E+03,6.33E+03,7.33E+03,7.72E+03,,,,
CYTSB_HUMAN,1.98E+04,1.73E+04,1.68E+04,1.92E+04,3.20E+04,3.58E+04,3.30E+04,3.62E+04,3.13E+04,3.10E+04,3.41E+04,3.41E+04
RBG1L_HUMAN,1.42E+04,1.60E+04,2.03E+04,,1.62E+04,1.99E+04,2.07E+04,8.21E+03,1.59E+04,1.37E+04,1.09E+04,6.29E+03
RBG1L_HUMAN,3.05E+03,2.37E+03,2.48E+03,2.52E+03,3.39E+03,3.54E+03,3.68E+03,4.06E+03,3.88E+03,3.10E+03,3.35E+03,3.87E+03
PPR29_HUMAN,1.83E+03,3.83E+03,3.81E+03,4.56E+03,,,,,4.76E+03,5.52E+03,5.81E+03,7.31E+03
TTC38_HUMAN,,,1.55E+03,1.41E+03,2.29E+03,2.14E+03,2.65E+03,3.00E+03,1.54E+03,1.39E+03,2.10E+03,9.09E+02
A20A1_HUMAN;A20A2_HUMAN;A20A3_HUMAN,6.80E+03,,,,6.18E+03,6.74E+03,7.08E+03,6.48E+03,,2.47E+03,,
SNP47_HUMAN,2.16E+03,2.76E+03,2.83E+03,2.33E+03,2.72E+03,2.68E+03,1.93E+03,2.48E+03,2.80E+03,2.68E+03,2.51E+03,3.53E+03
HP1B3_HUMAN,3.61E+04,3.05E+04,2.58E+04,2.76E+04,3.70E+03,6.00E+03,6.31E+03,8.68E+03,1.59E+04,1.72E+04,3.90E+04,4.71E+04
CE170_HUMAN,4.27E+03,4.79E+03,5.00E+03,3.63E+03,2.34E+03,3.39E+03,2.92E+03,3.51E+03,2.95E+03,2.91E+03,2.99E+03,3.62E+03
ARH_HUMAN,,5.55E+03,3.10E+03,4.50E+03,1.09E+04,1.47E+04,1.20E+04,1.65E+04,6.19E+03,6.35E+03,7.07E+03,7.28E+03
ODR4_HUMAN,3.48E+03,6.34E+03,4.94E+03,6.31E+03,,5.22E+03,1.07E+03,,,1.14E+03,,
NOL9_HUMAN,4.35E+03,4.38E+03,5.85E+03,6.09E+03,2.28E+03,,2.06E+03,2.71E+03,,,3.78E+03,4.72E+03
NHSL1_HUMAN,7.69E+03,6.51E+03,1.09E+04,8.86E+03,2.25E+04,2.52E+04,2.32E+04,2.45E+04,2.06E+04,2.20E+04,3.05E+04,3.53E+04
TPRGL_HUMAN,,1.49E+03,1.43E+03,1.60E+03,,1.26E+03,1.83E+03,2.50E+03,1.26E+03,,9.94E+02,
C2D1B_HUMAN,1.60E+04,1.91E+04,1.84E+04,1.59E+04,4.16E+04,4.69E+04,4.34E+04,4.60E+04,2.09E+04,2.26E+04,2.15E+04,2.57E+04
FBP1L_HUMAN,9.65E+03,1.20E+04,9.32E+03,9.35E+03,2.10E+04,2.38E+04,2.07E+04,2.12E+04,6.67E+03,7.24E+03,7.19E+03,7.98E+03
FKB15_HUMAN,1.31E+04,1.35E+04,3.42E+04,3.14E+04,5.04E+03,5.48E+03,6.10E+03,7.99E+03,4.75E+03,6.07E+03,6.18E+03,7.08E+03
ZC3HD_HUMAN,4.46E+03,5.43E+03,8.48E+03,6.36E+03,,,1.44E+03,2.23E+03,2.81E+03,2.63E+03,2.74E+03,2.99E+03
ARMD3_HUMAN,,,4.26E+03,2.83E+03,3.30E+03,3.66E+03,3.26E+03,4.33E+03,1.19E+03,,1.66E+03,2.11E+03
MPP7_HUMAN,1.07E+04,1.00E+04,9.93E+03,9.57E+03,3.62E+03,3.41E+03,3.04E+03,3.71E+03,1.16E+04,1.16E+04,1.24E+04,1.37E+04
CSCL2_HUMAN,2.63E+04,2.22E+04,2.64E+04,2.86E+04,1.02E+04,1.04E+04,1.23E+04,1.52E+04,9.74E+03,1.09E+04,1.53E+04,1.71E+04
HECD3_HUMAN,,3.38E+03,3.42E+03,3.52E+03,2.44E+03,2.89E+03,2.16E+03,5.25E+03,3.21E+03,3.24E+03,3.12E+03,4.94E+03
UBR4_HUMAN,9.35E+03,8.38E+03,9.74E+03,8.86E+03,5.12E+03,6.40E+03,6.21E+03,7.27E+03,8.30E+03,8.28E+03,8.44E+03,9.44E+03
SKT_HUMAN,,1.76E+03,1.57E+03,,6.45E+02,,5.00E+02,9.82E+02,2.14E+03,2.36E+03,3.25E+03,4.27E+03
RHG21_HUMAN,,3.36E+03,2.51E+03,4.41E+03,2.37E+03,2.79E+03,2.43E+03,4.04E+03,1.20E+04,1.29E+04,1.57E+04,2.39E+04
UBAP2_HUMAN,6.12E+03,,3.00E+03,2.57E+03,1.68E+03,2.77E+03,2.42E+03,3.31E+03,1.34E+03,,,
QSPP_HUMAN,1.83E+03,,2.00E+03,2.70E+03,1.52E+03,1.97E+03,1.78E+03,2.18E+03,,,,
KPRP_HUMAN,1.41E+05,1.34E+05,6.12E+04,5.57E+04,4.60E+04,5.11E+04,1.41E+04,1.75E+04,3.03E+04,3.01E+04,2.39E+04,2.82E+04
XP32_HUMAN,1.89E+05,1.88E+05,6.36E+04,6.19E+04,5.28E+04,5.77E+04,1.48E+04,1.59E+04,2.47E+04,2.59E+04,2.16E+04,1.64E+04
GP158_HUMAN,,,1.27E+04,,1.85E+04,2.17E+04,2.20E+04,2.41E+04,5.02E+03,8.14E+03,6.58E+03,6.60E+03
F102B_HUMAN,4.93E+03,3.81E+03,3.68E+03,,5.37E+03,5.93E+03,6.20E+03,6.53E+03,,,,
F102A_HUMAN,9.16E+03,,,,4.26E+03,4.42E+03,5.52E+03,4.91E+03,6.79E+03,6.00E+03,5.42E+03,7.05E+03
WLS_HUMAN,1.13E+04,1.04E+04,1.23E+04,1.19E+04,6.51E+03,7.51E+03,7.85E+03,9.70E+03,6.73E+03,8.67E+03,9.63E+03,1.10E+04
INT11_HUMAN,,3.20E+03,2.16E+03,2.44E+03,,,,1.77E+03,,,,1.98E+03
CPTP_HUMAN,,,,,1.14E+03,1.89E+03,1.45E+03,2.56E+03,1.86E+03,2.35E+03,2.22E+03,3.68E+03
DCAF8_HUMAN,,,1.88E+03,2.01E+03,,1.95E+03,2.24E+03,1.89E+03,,,1.01E+03,1.53E+03
DEP1A_HUMAN,,,,1.74E+03,1.24E+03,1.38E+03,1.49E+03,2.12E+03,1.65E+03,1.58E+03,1.01E+03,1.77E+03
RNH2B_HUMAN,,,,,,,,9.17E+03,,,,
GRTP1_HUMAN,1.13E+04,1.35E+04,1.16E+04,1.21E+04,5.38E+03,6.33E+03,7.45E+03,9.35E+03,,,,
SPD2A_HUMAN,3.59E+03,2.74E+03,2.20E+03,2.71E+03,1.41E+03,1.44E+03,1.08E+03,1.31E+03,,,,
DDI2_HUMAN,1.30E+04,1.20E+04,1.39E+04,1.68E+04,1.62E+04,1.64E+04,1.42E+04,1.64E+04,1.56E+04,1.63E+04,1.75E+04,1.88E+04
H3PS2_HUMAN,2.03E+05,1.76E+05,1.89E+05,1.96E+05,7.20E+04,7.11E+04,1.32E+05,1.21E+05,8.84E+04,8.76E+04,1.50E+05,1.80E+05
NT5D1_HUMAN,9.25E+03,3.45E+03,3.37E+03,2.70E+03,4.28E+03,4.53E+03,4.80E+03,5.94E+03,6.38E+03,7.06E+03,5.64E+03,7.29E+03
CROCC_HUMAN,,1.20E+04,6.27E+03,6.60E+03,7.94E+03,6.25E+03,5.92E+03,8.95E+03,2.11E+04,2.13E+04,1.77E+04,2.59E+04
RIF1_HUMAN,2.06E+03,2.34E+03,3.23E+03,2.81E+03,,,1.05E+03,1.37E+03,,1.26E+03,1.29E+03,1.47E+03
VPS53_HUMAN,1.54E+04,8.26E+03,8.46E+03,9.67E+03,8.47E+03,1.04E+04,8.40E+03,1.13E+04,1.16E+04,1.07E+04,1.77E+04,1.43E+04
MANEL_HUMAN,9.68E+03,1.04E+04,6.77E+03,8.42E+03,9.01E+03,1.14E+04,9.61E+03,1.04E+04,1.03E+04,1.05E+04,1.06E+04,9.96E+03
STRP1_HUMAN,5.28E+03,5.38E+03,5.59E+03,5.71E+03,5.06E+03,4.61E+03,5.39E+03,5.29E+03,6.92E+03,7.21E+03,6.23E+03,5.73E+03
AB17B_HUMAN,1.09E+04,1.16E+04,1.37E+04,1.48E+04,3.20E+03,3.62E+03,3.59E+03,6.48E+03,5.72E+03,5.90E+03,7.24E+03,8.30E+03
OBSCN_HUMAN,1.40E+04,,,,4.01E+03,3.36E+03,5.17E+03,3.58E+03,6.94E+03,5.46E+03,5.11E+03,9.09E+03
MRCKA_HUMAN,2.04E+04,1.87E+04,1.91E+04,1.92E+04,3.07E+04,3.38E+04,3.20E+04,3.66E+04,1.33E+04,1.41E+04,1.85E+04,2.05E+04
MRCKA_HUMAN,,,,,6.60E+03,5.88E+03,5.43E+03,4.37E+03,,,,1.06E+03
RPRD2_HUMAN,,,,2.86E+03,,4.23E+03,,5.66E+03,4.90E+03,5.43E+03,5.08E+03,2.91E+03
PR38B_HUMAN,5.70E+03,6.26E+03,6.00E+03,5.41E+03,4.35E+03,5.38E+03,4.87E+03,4.76E+03,3.18E+03,1.49E+03,2.21E+03,3.12E+03
CAHD1_HUMAN,4.15E+04,4.68E+04,5.73E+04,4.79E+04,8.17E+03,8.88E+03,1.13E+04,1.00E+04,5.37E+03,5.64E+03,8.19E+03,7.92E+03
F1711_HUMAN,5.60E+03,4.65E+03,3.17E+03,3.64E+03,,,,,3.14E+03,4.19E+03,4.09E+03,4.81E+03
ARHGG_HUMAN,5.53E+03,4.24E+03,4.83E+03,4.81E+03,,,,,,2.40E+03,2.68E+03,3.36E+03
OTU1_HUMAN,4.15E+03,6.75E+03,5.51E+03,6.08E+03,8.47E+02,2.55E+03,2.69E+03,2.54E+03,1.21E+04,1.20E+04,1.08E+04,1.23E+04
BROX_HUMAN,1.41E+05,1.40E+05,1.34E+05,1.41E+05,1.17E+05,1.19E+05,1.19E+05,1.32E+05,4.63E+05,4.63E+05,3.72E+05,4.10E+05
GP107_HUMAN,1.03E+04,9.66E+03,1.01E+04,8.69E+03,,3.05E+03,4.93E+03,4.22E+03,7.03E+03,5.57E+03,4.65E+03,5.30E+03
SNX30_HUMAN,3.61E+03,4.71E+03,4.15E+03,4.80E+03,2.09E+03,1.70E+03,1.69E+03,2.67E+03,1.98E+03,1.21E+03,2.01E+03,2.47E+03
MLIP_HUMAN,4.62E+03,4.93E+03,7.31E+03,7.74E+03,,,,,4.95E+03,5.29E+03,5.60E+03,7.09E+03
DAB2P_HUMAN,7.78E+03,8.06E+03,7.37E+03,7.31E+03,3.87E+03,4.98E+03,3.57E+03,5.19E+03,7.31E+03,7.67E+03,9.62E+03,1.03E+04
LYPL1_HUMAN,5.27E+03,5.14E+03,7.52E+03,7.17E+03,2.02E+03,2.18E+03,2.14E+03,2.02E+03,3.71E+03,5.83E+03,4.35E+03,5.47E+03
ECM29_HUMAN,4.19E+03,4.50E+03,6.00E+03,5.53E+03,6.20E+03,6.30E+03,6.20E+03,7.35E+03,5.99E+03,6.36E+03,5.93E+03,6.76E+03
DEN4C_HUMAN,,3.74E+03,4.29E+03,2.84E+03,3.27E+03,4.04E+03,3.76E+03,4.21E+03,2.99E+03,3.70E+03,3.01E+03,4.00E+03
TM268_HUMAN,1.09E+04,1.07E+04,1.52E+04,1.72E+04,,2.31E+03,2.38E+03,,,,,
CARL1_HUMAN,5.27E+04,6.34E+04,7.13E+04,7.24E+04,2.39E+05,2.59E+05,2.20E+05,2.52E+05,7.53E+04,7.77E+04,7.46E+04,7.89E+04
RRAGB_HUMAN,,,,1.28E+03,5.68E+02,,9.48E+02,,,,8.12E+02,
FHI2A_HUMAN,3.51E+03,,4.56E+03,5.03E+03,3.33E+03,2.92E+03,4.42E+03,3.23E+03,2.94E+03,4.39E+03,4.25E+03,4.77E+03
ZDH20_HUMAN,6.39E+04,6.04E+04,5.88E+04,5.83E+04,2.50E+04,2.80E+04,2.39E+04,2.93E+04,3.18E+04,3.30E+04,3.31E+04,3.93E+04
SPRY7_HUMAN,2.57E+04,2.46E+04,2.44E+04,2.42E+04,8.79E+03,8.60E+03,1.29E+04,1.49E+04,8.61E+03,8.66E+03,1.17E+04,1.14E+04
K2C79_HUMAN,,,,5.05E+03,,,,,,,,
RN123_HUMAN,3.48E+03,4.43E+03,6.37E+03,5.68E+03,4.76E+03,4.49E+03,4.38E+03,4.78E+03,4.30E+03,4.38E+03,3.51E+03,4.73E+03
CD276_HUMAN,5.62E+04,5.01E+04,5.30E+04,4.51E+04,1.38E+05,1.41E+05,1.19E+05,1.35E+05,4.24E+04,4.06E+04,3.95E+04,4.98E+04
RN213_HUMAN,6.36E+03,5.51E+03,5.44E+03,6.20E+03,2.84E+03,3.35E+03,4.21E+03,3.76E+03,2.65E+03,3.27E+03,3.54E+03,4.64E+03
AP1AR_HUMAN,7.47E+03,7.39E+03,8.29E+03,8.90E+03,,2.90E+03,3.96E+03,7.30E+03,,,,
TNS2_HUMAN,3.62E+03,4.71E+03,,2.74E+03,7.73E+03,9.02E+03,8.03E+03,1.06E+04,5.65E+03,6.30E+03,7.40E+03,8.28E+03
KANK2_HUMAN,5.46E+03,6.54E+03,4.77E+03,5.64E+03,5.98E+03,7.10E+03,7.11E+03,8.72E+03,3.64E+03,4.59E+03,4.68E+03,5.85E+03
WAC2A_HUMAN,5.48E+03,7.00E+03,1.54E+04,1.38E+04,4.40E+03,5.37E+03,6.03E+03,7.12E+03,4.12E+03,4.14E+03,4.57E+03,4.40E+03
STEA3_HUMAN,2.64E+04,1.17E+04,1.01E+04,1.06E+04,1.89E+04,2.37E+04,2.19E+04,2.33E+04,9.97E+03,1.00E+04,1.03E+04,1.05E+04
F91A1_HUMAN,4.44E+04,4.11E+04,5.11E+04,5.39E+04,1.92E+04,1.54E+04,1.82E+04,1.92E+04,5.93E+04,5.52E+04,5.72E+04,6.99E+04
TBC9B_HUMAN,1.94E+04,2.04E+04,2.14E+04,2.67E+04,1.55E+04,1.70E+04,1.45E+04,1.88E+04,1.60E+04,1.62E+04,1.38E+04,1.83E+04
MAP1S_HUMAN,6.49E+03,5.10E+03,5.26E+03,5.61E+03,6.84E+03,8.13E+03,7.60E+03,8.58E+03,5.00E+03,6.14E+03,4.99E+03,6.02E+03
2ABD_HUMAN,3.22E+03,2.80E+03,3.20E+03,3.75E+03,2.00E+03,2.60E+03,2.32E+03,2.04E+03,,,,
AR6P4_HUMAN,3.39E+03,5.33E+03,8.97E+03,7.16E+03,2.95E+03,4.11E+03,4.67E+03,8.26E+03,2.69E+03,3.07E+03,1.01E+04,1.08E+04
KAZRN_HUMAN,,3.73E+03,4.53E+03,1.98E+03,5.38E+03,6.05E+03,4.66E+03,6.06E+03,,,,3.72E+03
A16L1_HUMAN,2.11E+03,2.12E+03,,2.38E+03,2.19E+03,1.48E+03,1.71E+03,1.74E+03,1.48E+03,2.06E+03,1.81E+03,1.56E+03
HGNAT_HUMAN,8.02E+03,8.83E+03,9.89E+03,1.19E+04,,,3.35E+03,3.75E+03,3.52E+03,4.47E+03,4.08E+03,4.52E+03
GL8D1_HUMAN,5.41E+03,7.76E+03,3.34E+03,5.34E+03,4.52E+03,4.27E+03,4.27E+03,4.21E+03,5.28E+03,4.43E+03,6.74E+03,7.33E+03
TENS3_HUMAN,1.20E+04,1.16E+04,1.50E+04,1.81E+04,5.64E+03,5.50E+03,4.87E+03,6.20E+03,1.31E+04,1.37E+04,1.09E+04,1.49E+04
NR3L1_HUMAN,1.32E+04,1.94E+04,2.17E+04,1.97E+04,8.81E+03,8.87E+03,7.32E+03,8.18E+03,1.75E+04,1.85E+04,2.01E+04,1.83E+04
MBLC2_HUMAN,3.44E+04,3.63E+04,3.52E+04,3.52E+04,1.52E+04,1.38E+04,1.47E+04,1.51E+04,2.16E+04,2.04E+04,2.31E+04,2.27E+04
FMN1_HUMAN,7.77E+03,1.05E+04,9.52E+03,7.90E+03,2.74E+04,3.05E+04,3.03E+04,3.44E+04,2.45E+04,2.80E+04,2.74E+04,2.98E+04
FMN1_HUMAN,,4.01E+03,,,3.51E+03,2.90E+03,,,5.72E+03,5.11E+03,4.68E+03,3.71E+03
LMBD2_HUMAN,5.72E+03,5.20E+03,6.34E+03,6.05E+03,2.95E+03,3.61E+03,3.41E+03,3.71E+03,,,3.51E+03,2.29E+03
ZFY26_HUMAN,5.50E+03,5.62E+03,4.45E+03,6.16E+03,2.17E+03,2.86E+03,3.30E+03,4.12E+03,2.38E+03,1.79E+03,1.97E+03,2.05E+03
CRBG3_HUMAN,,,,,6.13E+02,,,1.75E+03,,,,
RHG17_HUMAN,1.76E+04,1.57E+04,2.04E+04,2.04E+04,1.76E+04,2.05E+04,2.11E+04,2.16E+04,1.79E+04,1.89E+04,2.09E+04,2.40E+04
